agency_name,ntd_id,hq_city,hq_county,counties_served,agency_website,caltrans_district_id,caltrans_district_name,is_public_entity,is_publicly_operating,funding_sources,on_demand_vehicles_at_max_service,vehicles_at_max_service,gtfs_schedule_uris
City of Azusa,90250,Azusa,Los Angeles,Los Angeles,https://azusaca.gov/329/Azusa-Transit,7.0,Los Angeles / Ventura,True,True,,6.0,6.0,
City of Baldwin Park,90251,Baldwin Park,Los Angeles,Los Angeles,https://www.baldwinpark.com/233/Public-Transit,7.0,Los Angeles / Ventura,True,True,,,8.0,https://baldwinpark.tectransit.com/api/public/fixedRoute/gtfs
City of Bell,90252,Bell,Los Angeles,Los Angeles,http://www.cityofbell.org/?NavID=276,7.0,Los Angeles / Ventura,True,True,,,10.0,https://rapid.nationalrtap.org/GTFSFileManagement/UserUploadFiles/13119/LaCampanaGTFS-2025-01-17.zip
City of Bell Gardens,90253,Bell,Los Angeles,Los Angeles,www.bellgardens.org/government/city-departments/public-works/transportation,7.0,Los Angeles / Ventura,True,True,,,6.0,https://www.ips-systems.com/GTFS/Schedule/21
City of Bellflower,90254,Bellflower,Los Angeles,Los Angeles,https://www.bellflower.org/community/transportation/index.php,7.0,Los Angeles / Ventura,True,True,5309,,4.0,https://gtfs.remix.com/CalITP.zip
City of Beverly Hills,90255,Beverly Hills,Los Angeles,Los Angeles,https://www.beverlyhills.org/seniortransportation,7.0,Los Angeles / Ventura,True,True,,,4.0,
City of Burbank,90256,Burbank,Los Angeles,Los Angeles,www.burbankbus.org,7.0,Los Angeles / Ventura,True,True,,6.0,17.0,https://rideburbankbus.com/gtfs
City of Calabasas,90257,Calabasas,Los Angeles,Los Angeles,www.cityofcalabasas.com,7.0,Los Angeles / Ventura,True,True,,,8.0,https://www.cityofcalabasas.com/home/showpublisheddocument/32961/638749699548630000
City of Carson,90258,Carson,Los Angeles,Los Angeles,http://ci.carson.ca.us/CommunityServices/Transportation.aspx,7.0,Los Angeles / Ventura,True,True,,4.0,19.0,https://rapid.nationalrtap.org/GTFSFileManagement/UserUploadFiles/11488/CarsonGTFS.zip
City of Cerritos,90259,Cerritos,Los Angeles,Los Angeles,www.cerritostransit.com,7.0,Los Angeles / Ventura,True,True,,,16.0,https://passio3.com/cerritos/passioTransit/gtfs/google_transit.zip;https://www.cerritos.gov/media/v4lhplsz/google_transit-20250114.zip
City of Compton,90260,Compton,Los Angeles,Los Angeles,https://www.comptoncity.org/our-city/visitors/transportation,7.0,Los Angeles / Ventura,True,True,,0.0,5.0,https://github.com/LACMTA/los-angeles-regional-gtfs/raw/main/compton-ca-us/compton-ca-us.zip
City of Covina,90261,Covina,Los Angeles,Los Angeles,https://covinaca.gov/city-departments/transportation-division/,7.0,Los Angeles / Ventura,True,True,,,5.0,https://www.ips-systems.com/GTFS/Schedule/27
City of Cudahy,90262,Cudahy,Los Angeles,Los Angeles,http://www.cityofcudahy.com,7.0,Los Angeles / Ventura,True,True,,,6.0,https://www.cityofcudahyca.gov/DocumentCenter/View/2511
City of Downey,90263,Downey,Los Angeles,Los Angeles,https://www.downeyca.org/transit,7.0,Los Angeles / Ventura,True,True,,,15.0,https://downey.rideralerts.com/infopoint/gtfs-zip.ashx
City of El Monte,90265,El Monte,Los Angeles,Los Angeles,http://www.ci.el-monte.ca.us/Government/PublicWorks/Transportation.aspx,7.0,Los Angeles / Ventura,True,True,,4.0,14.0,https://data.trilliumtransit.com/gtfs/elmonte-ca-us/elmonte-ca-us.zip;https://rapid.nationalrtap.org/GTFSFileManagement/UserUploadFiles/11664/Google_Transit.zip
City of Glendora,90266,Glendora,Los Angeles,Los Angeles,https://www.cityofglendora.org/departments-services/transportation,7.0,Los Angeles / Ventura,True,True,5310,,10.0,https://www.cityofglendora.gov/files/assets/city/v/3/recreation-amp-human-services/transportation/documents/gtfs-6-2025.zip
City of Huntington Park,90267,Huntington Park,Los Angeles,Los Angeles,http://www.hpca.gov/231/City-Transportation,7.0,Los Angeles / Ventura,True,True,,,16.0,https://www.hpca.gov/DocumentCenter/View/11702
